"barrier_poly_id","country","area_km2","n_species_supported","Beaver","Bison","Brown Bear","Elk","Lynx","Pine Marten","Wild Boar","Wildcat"
5,"Scotland",78.0972137918563,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
7,"Scotland",6.02172642589235,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
8,"Scotland",2.21018954414535,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
10,"Scotland",4.25154446110309,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
14,"Scotland",2.7920400489018,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
15,"Scotland",426.200233972205,4,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
16,"Scotland",2.78999894858897,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
17,"Scotland",11.3064556689302,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
18,"Scotland",2.51579790262771,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
19,"Scotland",112.448792950868,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
20,"Scotland",16.9174456704547,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
21,"Scotland",4.41291848769446,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
28,"Scotland",13.662951638963,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
30,"Scotland",619.959102346575,4,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
31,"Scotland",357.860350639607,4,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
33,"Scotland",39.6048712340808,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
35,"Scotland",8.63435624723435,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
39,"Scotland",886.997279976536,5,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
41,"Scotland",23.125359602777,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
46,"Scotland",73.5967537956762,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
48,"Scotland",30.7364930968314,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
49,"Scotland",103.311750211765,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
50,"Scotland",14.4533840365759,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
52,"Scotland",12.1154364765711,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
56,"Scotland",2.91233464002895,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
58,"Scotland",2.20110728533673,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
62,"Scotland",67.999663379244,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
66,"Scotland",7.07438078945398,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
67,"Scotland",309.991974904559,3,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
70,"Scotland",391.855225541058,3,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
71,"Scotland",9.95976967411971,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
77,"Scotland",1602.39503865317,6,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
80,"Scotland",60.9665492736248,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
82,"Scotland",9.46356205028927,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
86,"Scotland",21.0261381843736,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
95,"Scotland",7.73356269567657,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
98,"Scotland",13.9821181846077,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
101,"Scotland",10.4518788032036,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
107,"Scotland",2156.09009691428,6,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
108,"Scotland",32.2307922420559,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
120,"Wales",2.70808892050505,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
124,"Wales",2.80876741696441,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
360,"Wales",719.730974334485,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
3161,"England",2.04021966654611,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5497,"England",57.7789513547227,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5579,"England",345.772724996297,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6917,"England",54.234725653583,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
8205,"England",117.706268082207,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
11776,"England",242.141618684873,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
11800,"England",73.0681401163896,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
12125,"England",26.8311118655674,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
14041,"England",208.129575668932,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
22128,"England",372.361305853385,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
23700,"England",243.89517113019,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
23838,"England",220.336299314373,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
26142,"England",13.8478336326286,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
26384,"England",381.410132481995,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
26395,"England",405.668130695838,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
42374,"England",39.6011704934564,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
42774,"England",13.3788089297365,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
50330,"England",33.0472847200702,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
50426,"England",19.474805350055,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
50522,"England",52.2291910998349,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
50627,"England",744.661199330208,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
58241,"England",15.0276926429642,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
68995,"England",401.64254342457,3,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
82733,"England",69.8125920139511,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
119245,"England",128.389785534245,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
120996,"England",136.474187025391,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
121092,"England",1424.71626313346,4,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
121520,"England",1213.77424926658,3,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
124649,"England",1654.33008749761,3,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
131561,"England",708.171069850625,3,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
132771,"England",2567.60450155472,5,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
133493,"England",68.353914644765,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
134246,"England",598.264021319761,3,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
134402,"England",1231.1637163402,4,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
162819,"England",90.4828080771585,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
162825,"England",879.356992622228,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
165191,"England",1434.32530867043,4,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
178973,"England",909.961535234455,3,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
184003,"England",1214.72572846525,4,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
184125,"England",57.8563210374174,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
184450,"England",707.529961558251,3,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
185492,"England",1530.42015284539,4,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
195780,"England",10.0803051280656,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
214598,"England",172.961252879999,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
226120,"England",248.587702681275,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
226133,"England",9.95386419039648,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
226882,"England",192.759769294983,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
226883,"England",22.2885197641889,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
235465,"England",101.213167607082,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
235637,"England",43.3173518632578,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
236852,"England",4.76599435334295,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
246780,"England",3.99853796328408,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
246793,"England",49.5612796353625,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
246818,"England",118.872422346578,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
