"barrier_poly_id","country","area_km2","n_species_supported","Beaver","Bison","Brown Bear","Elk","Lynx","Pine Marten","Wild Boar","Wildcat","rank_best"
2171562,"Scotland",11263.5991841475,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1
2139949,"Scotland",13250.6990833674,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2
1397515,"Wales",5603.31544467934,7,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,3
1594185,"Scotland",6383.2283485096,7,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,4
1398954,"Wales",6494.94547535241,7,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,5
1396553,"Wales",6684.43375494886,7,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,6
2136290,"Scotland",7031.87503471903,7,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,7
1982473,"England",7633.07464657488,7,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,8
1306619,"England",7707.88341513224,7,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,9
2174014,"Scotland",11433.5110120171,7,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,10
2030967,"Scotland",11836.002668587,7,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,11
